Variant_ID	Gene_ID	Drug_ID	Disease_Context	Target_Detail	Type_Association_General	Type_Dosage	Type_Efficacy	Type_Metabolism_PK	Type_No_Association	Type_Toxicity	Dir_Associated	Dir_Decreased	Dir_Increased	Dir_None
CYP2A6*1, CYP2A6*9, CYP2A6*17, CYP2A6*20, CYP2A6*24, CYP2A6*26, CYP2A6*27	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*1, CYP2A6*9, CYP2A6*17, CYP2A6*35	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*2	CYP2A6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*4	CYP2A6	osimertinib	other:non-small cell lung carcinoma	['nan']	0	0	0	0	0	1	0	0	1	0
CYP2A6*4	CYP2A6	tegafur	disease:stomach neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	irinotecan	disease:colorectal neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	oxaliplatin	disease:colorectal neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*4, CYP2A6*7, CYP2A6*9	CYP2A6	tegafur / gimeracil / oteracil	disease:colorectal neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*4, CYP2A6*7, CYP2A6*9, CYP2A6*10	CYP2A6	pilocarpine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*4, CYP2A6*9, CYP2A6*17, CYP2A6*26	CYP2A6	nicotine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2A6*46	CYP2A6	tegafur	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2A6*5, CYP2A6*47	CYP2A6	coumarin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6 intermediate metabolizer	CYP2B6	efavirenz	other:hiv infectious disease	['nan']	0	0	0	1	1	0	0	0	1	1
CYP2B6 intermediate metabolizer	CYP2B6	levonorgestrel	other:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 intermediate metabolizer	CYP2B6	methadone	other:death	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 intermediate metabolizer	CYP2B6	r-eddp	other:death	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 intermediate metabolizer	CYP2B6	s-eddp	other:death	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 poor metabolizer	CYP2B6	buprenorphine	disease:opioid-related disorders	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 poor metabolizer	CYP2B6	diazepam	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6 poor metabolizer	CYP2B6	efavirenz	disease:hiv infectious disease, disease:tuberculosis	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	efavirenz	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	efavirenz	other:discontinuation, other:hiv infectious disease	['nan']	0	0	0	0	0	1	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	efavirenz	other:hiv infectious disease	['nan']	0	0	0	1	0	1	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	efavirenz	other:hiv infectious disease, other:pregnancy	['nan']	0	0	0	0	0	1	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	isoniazid	other:hiv infectious disease	['nan']	0	0	0	0	0	1	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	isoniazid	other:hiv infectious disease, other:pregnancy	['nan']	0	0	0	0	0	1	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	levonorgestrel	other:hiv infectious disease	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6 poor metabolizer	CYP2B6	medroxyprogesterone	other:hiv infectious disease, other:tuberculosis	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 poor metabolizer	CYP2B6	methadone	disease:opioid-related disorders	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 poor metabolizer	CYP2B6	propofol	other:respiratory failure requiring assisted ventilation	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 poor metabolizer	CYP2B6	tramadol	other:pain, postoperative	['nan']	0	0	1	0	0	0	0	1	0	0
CYP2B6 poor metabolizer and intermediate metabolizer genotypes	CYP2B6	cyclophosphamide	other:breast neoplasms, other:neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6 poor metabolizer and intermediate metabolizer genotypes	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	1	0	0	0	0	0	0	0	1	0
CYP2B6 poor metabolizer and intermediate metabolizer genotypes	CYP2B6	hydroxybupropion	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	1	1	0	0	0	1	1	0
CYP2B6*1, CYP2B6*11	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*11	CYP2B6	efavirenz	disease:hiv infectious disease, disease:tuberculosis	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*11	CYP2B6	efavirenz	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*18	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	1	0	0	0	1	1	0
CYP2B6*1, CYP2B6*2	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*22	CYP2B6	bupropion	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*22	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*22	CYP2B6	tamoxifen	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*28	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*29	CYP2B6	cyclophosphamide	disease:non-hodgkin lymphoma	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*30	CYP2B6	cyclophosphamide	disease:non-hodgkin lymphoma	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*4	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*4	CYP2B6	nicotine	general_population	['nan']	0	0	0	0	1	1	0	0	1	1
CYP2B6*1, CYP2B6*4	CYP2B6	sertraline	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*4	CYP2B6	tamoxifen	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*4, CYP2B6*5, CYP2B6*6, CYP2B6*18, CYP2B6*22	CYP2B6	bupropion	disease:tobacco use disorder	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*4, CYP2B6*5, CYP2B6*6, CYP2B6*22	CYP2B6	cyclophosphamide	other:neuroblastoma	['nan']	0	0	0	0	0	1	0	1	1	0
CYP2B6*1, CYP2B6*4, CYP2B6*6	CYP2B6	bupropion	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*4, CYP2B6*6	CYP2B6	methadone	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*4, CYP2B6*6	CYP2B6	methadone	other:opioid-related disorders	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5	CYP2B6	clopidogrel	disease:carotid artery diseases	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5	CYP2B6	clopidogrel	disease:myocardial infarction	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5	CYP2B6	efavirenz	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5	CYP2B6	tamoxifen	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5, CYP2B6*6	CYP2B6	cyclophosphamide	disease:breast neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
CYP2B6*1, CYP2B6*5, CYP2B6*6, CYP2B6*7	CYP2B6	levomethadone	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5, CYP2B6*6, CYP2B6*7	CYP2B6	quetiapine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*5, CYP2B6*6, CYP2B6*7	CYP2B6	s-methadone	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*5, CYP2B6*6, CYP2B6*7, CYP2B6*18	CYP2B6	methadone	other:opioid-related disorders	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*5, CYP2B6*9	CYP2B6	busulfan	disease:hemopoietic stem cell transplant	['nan']	0	0	1	0	0	0	0	0	1	0
CYP2B6*1, CYP2B6*6	CYP2B6	antineoplastic agents	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*6	CYP2B6	artemether	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*6	CYP2B6	bupropion	disease:pregnancy	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*6	CYP2B6	bupropion	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
CYP2B6*1, CYP2B6*6	CYP2B6	bupropion	other:tobacco use disorder	['nan']	0	0	1	0	0	0	0	0	1	0
CYP2B6*1, CYP2B6*6	CYP2B6	chlorambucil	disease:leukemia, lymphocytic, chronic, b-cell	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*6	CYP2B6	clopidogrel	disease:myocardial infarction	['nan']	0	0	0	0	1	0	0	0	0	1
CYP2B6*1, CYP2B6*6	CYP2B6	cotinine	general_population	['nan']	0	0	0	1	0	0	0	0	1	0
CYP2B6*1, CYP2B6*6	CYP2B6	cyclophosphamide	disease:leukemia, lymphocytic, chronic, b-cell	['nan']	0	0	1	0	0	1	0	1	0	0
