Id	SNP_ID	ACC_NUMBER	ALLELE	SNP_CLASS	CHRPOS	FXN_CLASS	GENE_NAME
4586	4586	NC_000017.11	H	snv	17:34256250	coding_sequence_variant,synonymous_variant,stop_gained	CCL2
4606	4606	NC_000001.11	B	snv	1:192812042	3_prime_UTR_variant	RGS2
4609	1695	NC_000011.10	D	snv	11:67585218	coding_sequence_variant,missense_variant	GSTP1
4630	4630	NT_187633.1	R	snv	NT_187633.1:270497	500B_downstream_variant,downstream_transcript_variant,3_prime_UTR_variant	GSTT1,GSTT1-AS1
4633	4633	NC_000022.11	Y	snv	22:19962712	2KB_upstream_variant,upstream_transcript_variant,synonymous_variant,coding_sequence_variant	COMT,MIR4761
4643	4643	NC_000001.11	H	snv	1:63659768	3_prime_UTR_variant	PGM1
4646	4646	NC_000015.10	V	snv	15:51210647	3_prime_UTR_variant,intron_variant	CYP19A1,MIR4713HG
4658	4658	NC_000001.11	B	snv	1:42926579	3_prime_UTR_variant	SLC2A1
4673	4673	NC_000016.10	N	snv	16:88646828	coding_sequence_variant,missense_variant	CYBA
4680	4680	NC_000022.11	R	snv	22:19963748	2KB_upstream_variant,upstream_transcript_variant,missense_variant,coding_sequence_variant	COMT,MIR4761
4714	699	NC_000001.11	N	snv	1:230710048	coding_sequence_variant,missense_variant	AGT
4742	4742	NC_000004.12	N	snv	4:182894535	coding_sequence_variant,synonymous_variant	DCTD
4762	4762	NC_000001.11	N	snv	1:230710231	coding_sequence_variant,missense_variant	AGT
4818	4818	NC_000022.11	B	snv	22:19963684	2KB_upstream_variant,upstream_transcript_variant,synonymous_variant,coding_sequence_variant	COMT,MIR4761
4880	4880	NC_000006.12	N	snv	6:159692840	missense_variant,5_prime_UTR_variant,coding_sequence_variant	SOD2
4906	4633	NC_000022.11	Y	snv	22:19962712	2KB_upstream_variant,upstream_transcript_variant,synonymous_variant,coding_sequence_variant	COMT,MIR4761
4950	4950	NC_000008.11	N	snv	8:42697490	genic_upstream_transcript_variant,5_prime_UTR_variant,non_coding_transcript_variant	CHRNB3,LOC124900250
4961	4961	NC_000004.12	D	snv	4:2904980	missense_variant,coding_sequence_variant	ADD1
4974	4343	NC_000017.11	D	snv	17:63488670	coding_sequence_variant,non_coding_transcript_variant,synonymous_variant	ACE
4994	4994	NC_000008.11	N	snv	8:37966280	missense_variant,coding_sequence_variant	ADRB3
5050	5050	NC_000001.11	B	snv	1:230714140	upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant	AGT
5051	5051	NC_000001.11	N	snv	1:230714126	upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant	AGT
5063	5063	NC_000001.11	N	snv	1:11847591	coding_sequence_variant,missense_variant,non_coding_transcript_variant	NPPA,NPPA-AS1
5065	5065	NC_000001.11	D	snv	1:11846011	stop_lost,terminator_codon_variant,intron_variant	NPPA,NPPA-AS1
5128	5128	NC_000011.10	V	snv	11:116832924	3_prime_UTR_variant	APOC3
5182	5182	NC_000003.12	B	snv	3:148741608	synonymous_variant,coding_sequence_variant	AGTR1
5186	5186	NC_000003.12	M	snv	3:148742201	3_prime_UTR_variant	AGTR1
5219	5219	NC_000011.10	N	snv	11:17388025	stop_gained,5_prime_UTR_variant,missense_variant,intron_variant,coding_sequence_variant	KCNJ11
5224	5224	NC_000014.9	N	snv	14:96241120	synonymous_variant,coding_sequence_variant	BDKRB2
5275	5275	NC_000001.11	N	snv	1:186673926	3_prime_UTR_variant	PTGS2
5326	5326	NC_000005.10	N	snv	5:175443193	5_prime_UTR_variant	DRD1
5333	5333	NC_000004.12	Y	snv	4:147539885	synonymous_variant,2KB_upstream_variant,genic_downstream_transcript_variant,coding_sequence_variant,upstream_transcript_variant,non_coding_transcript_variant	EDNRA,LOC124900795
5370	5370	NC_000006.12	K	snv	6:12296022	missense_variant,coding_sequence_variant	EDN1
5441	5441	NC_000012.12	D	snv	12:6839862	500B_downstream_variant,2KB_upstream_variant,downstream_transcript_variant,upstream_transcript_variant	GNB3,P3H3
5443	5443	NC_000012.12	B	snv	12:6845711	3_prime_UTR_variant,genic_downstream_transcript_variant,synonymous_variant,coding_sequence_variant	GNB3,CDCA3
5522	5522	NC_000004.12	N	snv	4:148436323	non_coding_transcript_variant,missense_variant,coding_sequence_variant	NR3C2
5569	5569	NC_000016.10	N	snv	16:55697923	coding_sequence_variant,synonymous_variant,missense_variant	SLC6A2
5723	5723	NC_000016.10	S	snv	16:23215466	coding_sequence_variant,synonymous_variant	SCNN1G
5729	5729	NC_000016.10	W	snv	16:23216075	3_prime_UTR_variant	SCNN1G
5789	5789	NC_000009.12	H	snv	9:122381694	synonymous_variant,missense_variant,coding_sequence_variant	PTGS1
5877	5877	NC_000001.11	H	snv	1:173909724	coding_sequence_variant,synonymous_variant	SERPINC1
5882	5882	NC_000016.10	V	snv	16:56982180	coding_sequence_variant,missense_variant,genic_downstream_transcript_variant	CETP
5888	5888	NC_000012.12	N	snv	12:124800202	intron_variant,non_coding_transcript_variant,synonymous_variant,coding_sequence_variant	SCARB1
5896	5896	NC_000011.10	B	snv	11:46723453	coding_sequence_variant,missense_variant	F2
5918	5918	NC_000017.11	Y	snv	17:47283364	coding_sequence_variant,missense_variant	ITGB3
5925	5925	NC_000019.10	Y	snv	19:11120205	synonymous_variant,coding_sequence_variant,3_prime_UTR_variant	LDLR
5985	5985	NC_000006.12	N	snv	6:6318562	missense_variant,intron_variant,coding_sequence_variant	F13A1,LOC124901253
6018	6018	NC_000001.11	K	snv	1:169542640	coding_sequence_variant,missense_variant	F5
6025	6025	NC_000001.11	N	snv	1:169549811	coding_sequence_variant,missense_variant	F5
6065	6065	NC_000017.11	B	snv	17:4933086	coding_sequence_variant,missense_variant	GP1BA
6092	6092	NC_000007.14	R	snv	7:101128436	coding_sequence_variant,intron_variant,missense_variant	SERPINE1
6113	6113	NC_000014.9	Y	snv	14:94587512	synonymous_variant,coding_sequence_variant	SERPINA5
6118	6118	NC_000014.9	B	snv	14:94587526	missense_variant,coding_sequence_variant	SERPINA5
6119	6119	NC_000014.9	R	snv	14:94587675	missense_variant,coding_sequence_variant	SERPINA5
6166	6166	NC_000002.12	N	snv	2:48962782	coding_sequence_variant,genic_downstream_transcript_variant,missense_variant	FSHR
6196	6196	NC_000005.10	R	snv	5:143281925	non_coding_transcript_variant,genic_downstream_transcript_variant,synonymous_variant,intron_variant,coding_sequence_variant	NR3C1
6198	6198	NC_000005.10	Y	snv	5:143278056	non_coding_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant	NR3C1
6265	6265	NC_000011.10	N	snv	11:27658369	coding_sequence_variant,non_coding_transcript_variant,missense_variant	BDNF,BDNF-AS
6269	6269	NC_000022.11	D	snv	22:19962429	upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant,intron_variant,2KB_upstream_variant	COMT,MIR4761
6275	6275	NC_000011.10	N	snv	11:113412755	coding_sequence_variant,synonymous_variant,missense_variant	DRD2
6277	6277	NC_000011.10	N	snv	11:113412737	coding_sequence_variant,synonymous_variant	DRD2
6279	6279	NC_000011.10	V	snv	11:113410351	3_prime_UTR_variant	DRD2
6280	6280	NC_000003.12	Y	snv	3:114171968	coding_sequence_variant,missense_variant	DRD3
6295	6295	NC_000005.10	V	snv	5:63962738	2KB_upstream_variant,upstream_transcript_variant	HTR1A
6296	6296	NC_000006.12	S	snv	6:77462543	synonymous_variant,upstream_transcript_variant,coding_sequence_variant,genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant	HTR1B,LOC105377864
6305	6305	NC_000013.11	V	snv	13:46892487	missense_variant,synonymous_variant,coding_sequence_variant	HTR2A
6311	6311	NC_000013.11	H	snv	13:46897343	genic_upstream_transcript_variant,upstream_transcript_variant,intron_variant	HTR2A
6313	6313	NC_000013.11	N	snv	13:46895805	synonymous_variant,intron_variant,coding_sequence_variant	HTR2A
6314	6314	NC_000013.11	R	snv	13:46834899	missense_variant,coding_sequence_variant	HTR2A
6318	6318	NC_000023.11	B	snv	X:114731326	missense_variant,intron_variant,coding_sequence_variant	HTR2C,LOC105373313
6347	6347	NC_000005.10	N	snv	5:1411297	synonymous_variant,coding_sequence_variant	SLC6A3
6350	6350	NC_000005.10	N	snv	5:1443084	synonymous_variant,missense_variant,coding_sequence_variant	SLC6A3
6853	6853	NC_000003.12	D	snv	3:38142879	3_prime_UTR_variant,non_coding_transcript_variant	MYD88
6941	6941	NC_000002.12	M	snv	2:216205929	3_prime_UTR_variant	XRCC5
7041	7041	NC_000004.12	N	snv	4:71752617	intron_variant,missense_variant,coding_sequence_variant,synonymous_variant	GC
7079	7079	NC_000001.11	N	snv	1:230702585	3_prime_UTR_variant	AGT
7121	7121	NC_000020.11	N	snv	20:58903752	3_prime_UTR_variant,synonymous_variant,genic_downstream_transcript_variant,missense_variant,coding_sequence_variant	GNAS
7169	7169	NC_000001.11	N	snv	1:112912477	3_prime_UTR_variant,downstream_transcript_variant,500B_downstream_variant	SLC16A1,LOC124904342
7242	7242	NC_000007.14	K	snv	7:101138164	3_prime_UTR_variant	SERPINE1
7294	7294	NC_000016.10	N	snv	16:31091000	3_prime_UTR_variant	VKORC1
7412	7412	NC_000019.10	Y	snv	19:44908822	missense_variant,coding_sequence_variant	APOE
7472	7472	NC_000009.12	N	snv	9:100302248	downstream_transcript_variant,synonymous_variant,missense_variant,genic_downstream_transcript_variant,500B_downstream_variant,coding_sequence_variant	INVS,TEX10
7483	7483	NC_000001.11	N	snv	1:109737079	coding_sequence_variant,missense_variant,non_coding_transcript_variant	GSTM3
7877	7877	NC_000001.11	N	snv	1:171285751	3_prime_UTR_variant,genic_downstream_transcript_variant	FMO1
7913	1594	NC_000002.12	N	snv	2:201160898	non_coding_transcript_variant,genic_downstream_transcript_variant,coding_sequence_variant,downstream_transcript_variant,synonymous_variant	CFLAR
7972	7972	NC_000014.9	R	snv	14:77326894	missense_variant,5_prime_UTR_variant,coding_sequence_variant	GSTZ1
7975	7975	NC_000014.9	N	snv	14:77326864	missense_variant,stop_gained,5_prime_UTR_variant,coding_sequence_variant	GSTZ1
8330	8330	NC_000002.12	N	snv	2:233772999	3_prime_UTR_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3
8450	8450	NC_000001.11	N	snv	1:153947810	3_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant,genic_downstream_transcript_variant	DENND4B,CRTC2
8636	8636	NC_000020.11	H	snv	20:10307094	genic_downstream_transcript_variant,3_prime_UTR_variant	SNAP25
8667	8667	NC_000019.10	V	snv	19:49933114	non_coding_transcript_variant,3_prime_UTR_variant	ATF5,MIR4751
8832	8832	NC_000016.10	R	snv	16:27364466	3_prime_UTR_variant	IL4R
8904	8904	NC_000014.9	N	snv	14:35402011	3_prime_UTR_variant	NFKBIA
9024	9024	NC_000021.9	N	snv	21:36073015	3_prime_UTR_variant,intron_variant	CBR1,CBR1-AS1
9200	9200	NC_000005.10	N	snv	5:41142504	intron_variant,3_prime_UTR_variant	C6,LOC105374739
9344	9344	NC_000011.10	R	snv	11:69648142	coding_sequence_variant,synonymous_variant	CCND1
9523	9523	NC_000019.10	H	snv	19:49907875	intron_variant,genic_upstream_transcript_variant,3_prime_UTR_variant	NUP62,IL4I1
9574	9574	NC_000020.11	N	snv	20:35176829	3_prime_UTR_variant,intron_variant	PROCR,MMP24-AS1-EDEM2
9597	9597	NC_000016.10	B	snv	16:1324950	3_prime_UTR_variant,downstream_transcript_variant,genic_downstream_transcript_variant	UBE2I
9713	9713	NC_000002.12	W	snv	2:161308497	5_prime_UTR_variant	PSMD14
9852	9852	NC_000004.12	H	snv	4:38137403	3_prime_UTR_variant,genic_downstream_transcript_variant	TBC1D1
9937	9937	NC_000011.10	D	snv	11:4138227	coding_sequence_variant,synonymous_variant	RRM1
10046	10046	NC_000015.10	N	snv	15:51210789	3_prime_UTR_variant,intron_variant	CYP19A1,MIR4713HG
10106	10106	NC_000009.12	N	snv	9:127813796	intron_variant,non_coding_transcript_variant,3_prime_UTR_variant	FPGS
10211	10211	NC_000007.14	H	snv	7:99705371	intron_variant,3_prime_UTR_variant,genic_downstream_transcript_variant	CYP3A7,ZSCAN25,CYP3A7-CYP3A51P
10432	669	NC_000012.12	N	snv	12:9079672	intron_variant,genic_downstream_transcript_variant,missense_variant,coding_sequence_variant	A2M,KLRG1
10517	10517	NC_000016.10	N	snv	16:69709857	upstream_transcript_variant,3_prime_UTR_variant,2KB_upstream_variant	NQO1,SNORD13H
10711	10711	NC_000010.11	B	snv	10:60794716	genic_downstream_transcript_variant,3_prime_UTR_variant	CDK1
10885	10885	NC_000006.12	Y	snv	6:31636814	missense_variant,intron_variant,coding_sequence_variant	PRRC2A
10995	10995	NC_000019.10	V	snv	19:45526896	3_prime_UTR_variant	VASP
11125	11125	NC_000014.9	D	snv	14:55145121	missense_variant,non_coding_transcript_variant,synonymous_variant,coding_sequence_variant	LGALS3
11226	11226	NC_000012.12	R	snv	12:912647	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant	RAD52
11229	11229	NC_000006.12	V	snv	6:31635993	synonymous_variant,missense_variant,coding_sequence_variant	PRRC2A
11479	11479	NC_000022.11	N	snv	22:50525807	stop_gained,upstream_transcript_variant,genic_upstream_transcript_variant,coding_sequence_variant,intron_variant,missense_variant	TYMP,SCO2
11615	11615	NC_000019.10	N	snv	19:45420395	missense_variant,synonymous_variant,coding_sequence_variant	ERCC1
12252	12252	NC_000011.10	R	snv	11:320772	intron_variant,coding_sequence_variant,non_coding_transcript_variant,synonymous_variant	IFITM3,LOC105376505
12418	12418	NC_000010.11	R	snv	10:72013256	3_prime_UTR_variant	CHST3
12529	12529	NC_000010.11	N	snv	10:5094459	synonymous_variant,upstream_transcript_variant,intron_variant,missense_variant,2KB_upstream_variant,coding_sequence_variant	AKR1C3,LOC124900291
12539	12539	NC_000007.14	H	snv	7:150861278	intron_variant,3_prime_UTR_variant	AOC1,LOC105375567
12659	12659	NC_000021.9	N	snv	21:45531642	coding_sequence_variant,synonymous_variant	SLC19A1
12826	12826	NC_000010.11	N	snv	10:99852563	genic_downstream_transcript_variant,3_prime_UTR_variant	ABCC2
12960	12960	NC_000016.10	R	snv	16:89553920	coding_sequence_variant,missense_variant,genic_downstream_transcript_variant	SPG7
13181	13181	NC_000019.10	N	snv	19:45351661	downstream_transcript_variant,missense_variant,genic_downstream_transcript_variant,non_coding_transcript_variant,500B_downstream_variant,stop_gained,coding_sequence_variant	ERCC2,KLC3
13959	13959	NC_000009.12	N	snv	9:72930966	synonymous_variant,coding_sequence_variant	ALDH1A1
14158	14158	NC_000019.10	N	snv	19:11131368	genic_downstream_transcript_variant,3_prime_UTR_variant	LDLR
15524	15524	NC_000007.14	N	snv	7:99648291	non_coding_transcript_variant,genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant,downstream_transcript_variant	CYP3A5,ZSCAN25
16754	16754	NC_000011.10	N	snv	11:32396399	coding_sequence_variant,non_coding_transcript_variant,5_prime_UTR_variant,synonymous_variant	WT1
16944	16944	NC_000002.12	R	snv	2:112837290	upstream_transcript_variant,2KB_upstream_variant	IL1B
16947	16947	NC_000022.11	N	snv	22:42127941	missense_variant,coding_sequence_variant	CYP2D6
16955	1205	NC_000001.11	Y	snv	1:159712443	3_prime_UTR_variant	CRP
16989	696	NC_000014.9	N	snv	14:35401887	3_prime_UTR_variant	NFKBIA
16991	688	NC_000019.10	Y	snv	19:11116926	intron_variant,synonymous_variant,coding_sequence_variant	LDLR
17025	4994	NC_000008.11	N	snv	8:37966280	missense_variant,coding_sequence_variant	ADRB3
17033	17033	NC_000004.12	N	snv	4:99307788	3_prime_UTR_variant	ADH1B
17435	17435	NC_000023.11	H	snv	X:154046529	intron_variant,genic_upstream_transcript_variant	MECP2
17650	17650	NC_000009.12	N	snv	9:114323246	missense_variant,coding_sequence_variant	ORM1
17655	17655	NC_000013.11	S	snv	13:102875652	missense_variant,coding_sequence_variant	ERCC5,BIVM-ERCC5
17675	562	NC_000003.12	N	snv	3:183920057	genic_downstream_transcript_variant,3_prime_UTR_variant	ABCC5
20417	20417	NC_000001.11	B	snv	1:186681189	upstream_transcript_variant,2KB_upstream_variant,non_coding_transcript_variant	PTGS2,PACERR
20455	20455	NC_000006.12	N	snv	6:39357302	missense_variant,intron_variant,coding_sequence_variant,genic_downstream_transcript_variant	KIF6,LOC107986594
20572	20572	NC_000021.9	N	snv	21:36072675	3_prime_UTR_variant,intron_variant,coding_sequence_variant,synonymous_variant	CBR1,CBR1-AS1
20575	20575	NC_000008.11	N	snv	8:23201811	missense_variant,coding_sequence_variant	TNFRSF10A
25487	25487	NC_000019.10	B	snv	19:43551574	missense_variant,coding_sequence_variant	XRCC1
25531	25531	NC_000017.11	B	snv	17:30237328	intron_variant,2KB_upstream_variant,genic_upstream_transcript_variant,upstream_transcript_variant	SLC6A4,LOC105371720
25648	25648	NC_000006.12	B	snv	6:43771240	synonymous_variant,upstream_transcript_variant,genic_downstream_transcript_variant,coding_sequence_variant,genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant	VEGFA,POLR1C
25678	25678	NC_000021.9	B	snv	21:36070334	non_coding_transcript_variant,coding_sequence_variant,synonymous_variant	CBR1,CBR1-AS1
33388	33388	NC_000005.10	N	snv	5:143317730	intron_variant	NR3C1
33389	33389	NC_000005.10	B	snv	5:143320934	intron_variant	NR3C1
35592	35592	NC_000016.10	Y	snv	16:16047966	intron_variant	ABCC1
35621	35621	NC_000016.10	B	snv	16:16074751	intron_variant	ABCC1
35793	35793	NC_000010.11	V	snv	10:77423280	genic_downstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant,intron_variant	KCNMA1
36029	36029	NC_000016.10	R	snv	16:55662844	genic_upstream_transcript_variant,intron_variant	SLC6A2
37973	37973	NC_000007.14	N	snv	7:7968245	intron_variant,2KB_upstream_variant,upstream_transcript_variant	GLCCI1,GLCCI1-DT
40239	40239	NC_000007.14	R	snv	7:116677823	intron_variant,genic_upstream_transcript_variant	MET,COMETT
49411	49411	NC_000003.12	N	snv	3:59771849	genic_downstream_transcript_variant,intron_variant	FHIT,CFAP20DC-DT
50872	50872	NC_000019.10	D	snv	19:45359191	intron_variant	ERCC2
77905	77905	NC_000009.12	N	snv	9:133652975	synonymous_variant,coding_sequence_variant	DBH
96844	96844	NC_000005.10	N	snv	5:56900777	2KB_upstream_variant,upstream_transcript_variant	LOC105378980
110402	110402	NC_000017.11	N	snv	17:45802681	intron_variant	CRHR1,LINC02210-CRHR1
119774	119774	NC_000016.10	N	snv	16:15992976	genic_upstream_transcript_variant,intron_variant	ABCC1
129081	129081	NC_000016.10	V	snv	16:16142082	3_prime_UTR_variant	ABCC1
130058	130058	NC_000006.12	N	snv	6:77463564	upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant	HTR1B,LOC105377864
130072	130072	NC_000006.12	N	snv	6:31144707	downstream_transcript_variant,missense_variant,coding_sequence_variant,genic_downstream_transcript_variant	CCHCR1
133290	133290	NC_000022.11	V	snv	22:41871601	intron_variant	SREBF2
135543	135543	NC_000022.11	N	snv	22:46159422	intron_variant,genic_upstream_transcript_variant	PPARA
135550	135550	NC_000022.11	N	snv	22:46157339	intron_variant,genic_upstream_transcript_variant	PPARA
135561	135561	NC_000022.11	N	snv	22:46143764	non_coding_transcript_variant	LOC124905138
138335	138335	NC_000022.11	V	snv	22:40831082	intron_variant	ST13
138337	138337	NC_000022.11	R	snv	22:40835049	intron_variant	ST13
139887	139887	NC_000022.11	N	snv	22:37975389	genic_downstream_transcript_variant,intron_variant	POLR2F,SOX10
150929	150929	NC_000016.10	N	snv	16:2278649	intron_variant	ABCA3
151352	151352	NC_000020.11	D	snv	20:59026940	downstream_transcript_variant,500B_downstream_variant,3_prime_UTR_variant	ATP5F1E,TUBB1
153549	153549	NC_000005.10	N	snv	5:112900600	intron_variant	REEP5
153560	153560	NC_000005.10	N	snv	5:112918680	intron_variant	REEP5
163182	163182	NC_000011.10	V	snv	11:2822986	intron_variant	KCNQ1
163184	163184	NC_000011.10	B	snv	11:2825839	intron_variant	KCNQ1
165599	165599	NC_000022.11	V	snv	22:19969258	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant	ARVCF,COMT
165688	4680	NC_000022.11	R	snv	22:19963748	2KB_upstream_variant,upstream_transcript_variant,missense_variant,coding_sequence_variant	COMT,MIR4761
165728	165728	NC_000022.11	N	snv	22:19969500	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant,downstream_transcript_variant	ARVCF,COMT
165854	165854	NC_000022.11	R	snv	22:20813499	synonymous_variant,genic_upstream_transcript_variant,coding_sequence_variant	PI4KA
167770	167770	NC_000003.12	V	snv	3:114160715	intron_variant	DRD3
167771	167771	NC_000003.12	N	snv	3:114157428	intron_variant	DRD3
168107	168107	NC_000001.11	N	snv	1:108937356	coding_sequence_variant,synonymous_variant,missense_variant,non_coding_transcript_variant	CLCC1
168351	168351	NC_000009.12	R	snv	9:72902395	intron_variant	ALDH1A1
168753	168753	NC_000005.10	N	snv	5:76732299	intron_variant	F2R
168790	168753	NC_000005.10	N	snv	5:76732299	intron_variant	F2R
174541	174541	NC_000011.10	Y	snv	11:61798436		
174699	174699	NC_000022.11	Y	snv	22:19966935	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant	ARVCF,COMT
177852	177852	NC_000014.9	Y	snv	14:37642665	genic_upstream_transcript_variant,intron_variant	TTC6
179008	179008	NC_000023.11	H	snv	X:12885540	missense_variant,coding_sequence_variant	TLR7
181781	181781	NC_000005.10	R	snv	5:132059422	2KB_upstream_variant,upstream_transcript_variant,intron_variant	IL3,LOC105379174
182420	182420	NC_000019.10	N	snv	19:47868938	intron_variant	LINC01595
182455	182455	NC_000001.11	N	snv	1:25908492	upstream_transcript_variant,2KB_upstream_variant,500B_downstream_variant,downstream_transcript_variant	STMN1,LOC105376885
183484	183484	NC_000011.10	N	snv	11:4119902	stop_gained,5_prime_UTR_variant,synonymous_variant,missense_variant,coding_sequence_variant	RRM1
187238	187238	NC_000011.10	V	snv	11:112164265	upstream_transcript_variant,2KB_upstream_variant	IL18
191190	191190	NC_000001.11	B	snv	1:48608973	intron_variant,genic_downstream_transcript_variant	AGBL4
198363	5065	NC_000001.11	D	snv	1:11846011	stop_lost,terminator_codon_variant,intron_variant	NPPA,NPPA-AS1
201522	201522	NC_000007.14	R	snv	7:102128266	intron_variant	CUX1
204047	204047	NC_000001.11	B	snv	1:28818612	intron_variant	OPRD1
204076	204076	NC_000001.11	N	snv	1:28863878	3_prime_UTR_variant	OPRD1
209474	209474	NC_000006.12	R	snv	6:32956807		
209709	209709	NC_000001.11	N	snv	1:22551320		
211247	211247	NC_000013.11	B	snv	13:33008508		
212087	212087	NC_000016.10	R	snv	16:16136433	intron_variant	ABCC1
212090	212090	NC_000016.10	W	snv	16:16142147	3_prime_UTR_variant	ABCC1
212091	212091	NC_000016.10	N	snv	16:16142793	3_prime_UTR_variant	ABCC1
212643	212087	NC_000016.10	R	snv	16:16136433	intron_variant	ABCC1
212646	212090	NC_000016.10	W	snv	16:16142147	3_prime_UTR_variant	ABCC1
212647	212091	NC_000016.10	N	snv	16:16142793	3_prime_UTR_variant	ABCC1
215071	119774	NC_000016.10	N	snv	16:15992976	genic_upstream_transcript_variant,intron_variant	ABCC1
221253	221253	NC_000007.14	N	snv	7:157539478	3_prime_UTR_variant,genic_downstream_transcript_variant	PTPRN2
222037	7041	NC_000004.12	N	snv	4:71752617	intron_variant,missense_variant,coding_sequence_variant,synonymous_variant	GC
222749	222749	NC_000017.11	R	snv	17:3592080	coding_sequence_variant,missense_variant	TRPV1
