Chemical_ID;Chemical;Entity1_type;Variant_ID;Variant;Entity2_type;LADME
PA448897;CERIVASTATIN;CHEMICAL;PA166153719;rs2819742;VARIANT;PD
PA448897;CERIVASTATIN;CHEMICAL;PA166154579;rs4149056;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166156279;rs167770;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166156285;rs324023;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166156286;rs324026;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166156301;rs963468;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177102;rs6700741;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177103;rs4971678;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177104;rs2933304;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177107;rs13093500;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177108;rs4261893;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177109;rs4334661;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177110;rs4858478;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177112;rs7616119;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177113;rs7625956;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177114;rs7653345;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177115;rs9310657;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177116;rs9310658;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177117;rs9819548;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177118;rs9824595;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177119;rs9873889;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177120;rs9879065;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177121;rs10007051;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177122;rs11933890;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177123;rs55881666;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177124;rs56229625;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177125;rs61692318;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177126;rs62319299;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177127;rs10123866;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177128;rs10124893;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177130;rs10989064;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177131;rs6479008;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177132;rs7035619;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177133;rs7472;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177136;rs12595802;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177137;rs12603700;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177138;rs3889402;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177139;rs56355515;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177140;rs58042962;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177145;rs12630569;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177177;rs12094644;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177178;rs2419128;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177179;rs4437856;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177180;rs12502866;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177181;rs12657120;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177182;rs4639250;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177183;rs13204353;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177184;rs9369266;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177185;rs3124955;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177186;rs3128624;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177187;rs10771997;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177188;rs10771998;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177189;rs10771999;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177190;rs17724452;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177191;rs17724464;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177192;rs17724494;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177193;rs17786394;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177194;rs17786400;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177195;rs17786412;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177196;rs61908402;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177197;rs61908403;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177198;rs61908404;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177199;rs61908405;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177200;rs61908406;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177201;rs61908407;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177202;rs61908408;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177203;rs61908409;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177204;rs61908410;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177205;rs61908411;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177206;rs7306991;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177207;rs7316769;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177208;rs78482393;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166177209;rs78615940;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166180924;rs2303377;VARIANT;PD
PA10066;DULOXETINE;CHEMICAL;PA166180928;rs117986340;VARIANT;PD
PA165958382;METHACHOLINE;CHEMICAL;PA166156748;rs1042713;VARIANT;PD
PA164712708;DRUGS FOR TREATMENT OF TUBERCULOSIS;CHEMICAL;PA166153990;rs2031920;VARIANT;PD
