Variant_ID;Variant;Entity1_type;Chemical_ID;Chemical;Entity2_type;LADME
PA166154091;rs7917983;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166157349;rs2270007;VARIANT;PA449015;CITALOPRAM;CHEMICAL;PD
PA166155046;rs3024530;VARIANT;PA165983754;PITRAKINRA;CHEMICAL;PD
PA166157424;rs6966038;VARIANT;PA449015;CITALOPRAM;CHEMICAL;PD
PA166157538;rs320;VARIANT;PA449594;FENOFIBRATE;CHEMICAL;PD
PA166156686;rs45605536;VARIANT;PA10804;IMATINIB;CHEMICAL;
PA166156686;rs45605536;VARIANT;PA162372878;DASATINIB;CHEMICAL;
PA166153827;rs11265572;VARIANT;PA451578;TACROLIMUS;CHEMICAL;
PA166159777;rs140602333;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166170188;rs34186955;VARIANT;PA449212;DAUNORUBICIN;CHEMICAL;
PA166170188;rs34186955;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;
PA166155127;rs28374453;VARIANT;PA166163690;DESMETHYLNAPROXEN;CHEMICAL;
PA166155127;rs28374453;VARIANT;PA166179720;TAPENTADOL;CHEMICAL;
PA166155127;rs28374453;VARIANT;PA448015;ACETAMINOPHEN;CHEMICAL;
PA166154844;rs660652;VARIANT;PA164712950;OPIUM ALKALOIDS AND DERIVATIVES;CHEMICAL;PD
PA166154844;rs660652;VARIANT;PA450626;NICOTINE;CHEMICAL;PD
PA166176700;rs4760658;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166156093;rs2284017;VARIANT;PA450243;LITHIUM;CHEMICAL;PD
PA166154090;rs7917432;VARIANT;PA10204;TENOFOVIR;CHEMICAL;PD
PA166203408;rs2233407;VARIANT;PA131301952;GEFITINIB;CHEMICAL;PD
PA166155619;rs1051685;VARIANT;PA451644;THALIDOMIDE;CHEMICAL;PD
PA166177127;rs10123866;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166153776;rs4844880;VARIANT;PA451578;TACROLIMUS;CHEMICAL;
PA166154188;rs62621365;VARIANT;PA449563;EXEMESTANE;CHEMICAL;
PA166199041;rs757081;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166157541;rs3594;VARIANT;PA150481189;TAXANES;CHEMICAL;PD
PA166157541;rs3594;VARIANT;PA448803;CARBOPLATIN;CHEMICAL;PD
PA166179948;rs3852209;VARIANT;PA450626;NICOTINE;CHEMICAL;PD
PA166154602;rs7311358;VARIANT;PA164748728;MYCOPHENOLIC ACID;CHEMICAL;PD
PA166154602;rs7311358;VARIANT;PA448803;CARBOPLATIN;CHEMICAL;PD
PA166154602;rs7311358;VARIANT;PA449383;DOCETAXEL;CHEMICAL;
PA166154602;rs7311358;VARIANT;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;
PA166154602;rs7311358;VARIANT;PA450761;PACLITAXEL;CHEMICAL;PD
PA166154157;rs12777823;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166156371;rs2948694;VARIANT;PA448073;ETHANOL;CHEMICAL;
PA166180172;rs9397685;VARIANT;PA449599;FENTANYL;CHEMICAL;PD
PA166177119;rs9873889;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166155798;rs11123469;VARIANT;PA452233;ANTIPSYCHOTICS;CHEMICAL;
PA166156787;rs2216711;VARIANT;PA450801;PAROXETINE;CHEMICAL;PD
PA166156091;rs2267076;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166153719;rs2819742;VARIANT;PA448500;ATORVASTATIN;CHEMICAL;PD
PA166153719;rs2819742;VARIANT;PA448897;CERIVASTATIN;CHEMICAL;PD
PA166153719;rs2819742;VARIANT;PA451363;SIMVASTATIN;CHEMICAL;PD
PA166154633;rs11045879;VARIANT;PA450379;MERCAPTOPURINE;CHEMICAL;PD
PA166154633;rs11045879;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166157391;rs4646437;VARIANT;PA10233;VORICONAZOLE;CHEMICAL;
PA166157391;rs4646437;VARIANT;PA449167;CYCLOSPORINE;CHEMICAL;PD
PA166157391;rs4646437;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166157391;rs4646437;VARIANT;PA451578;TACROLIMUS;CHEMICAL;
PA166154375;rs2514218;VARIANT;PA10026;ARIPIPRAZOLE;CHEMICAL;PD
PA166154375;rs2514218;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166161174;rs5993883;VARIANT;PA451201;QUETIAPINE;CHEMICAL;PD
PA166182407;rs795484;VARIANT;PA450550;MORPHINE;CHEMICAL;PD
PA166182407;rs795484;VARIANT;PA452618;OPIOIDS;CHEMICAL;PD
PA166157795;rs7867504;VARIANT;PA449748;GEMCITABINE;CHEMICAL;
PA166153865;rs16851030;VARIANT;PA448497;ASPIRIN;CHEMICAL;PD
PA166156707;rs5326;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166153547;rs5051;VARIANT;PA448499;ATENOLOL;CHEMICAL;PD
PA166153547;rs5051;VARIANT;PA448561;BENAZEPRIL;CHEMICAL;PD
PA166153547;rs5051;VARIANT;PA452640;IMIDAPRIL;CHEMICAL;PD
PA166154139;rs11572076;VARIANT;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;PD
PA166178411;rs79430272;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166178411;rs79430272;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166178411;rs79430272;VARIANT;PA449476;EPIRUBICIN;CHEMICAL;PD
PA166153829;rs11580409;VARIANT;PA452229;ANTIDEPRESSANTS;CHEMICAL;PD
PA166159770;rs200562975;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166350842;rs142421637;VARIANT;PA449441;EFAVIRENZ;CHEMICAL;
PA166350842;rs142421637;VARIANT;PA451141;PROPOFOL;CHEMICAL;
PA166201505;rs3115672;VARIANT;PA448803;CARBOPLATIN;CHEMICAL;PD
PA166201505;rs3115672;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166157862;rs1414334;VARIANT;PA449061;CLOZAPINE;CHEMICAL;PD
PA166157862;rs1414334;VARIANT;PA450688;OLANZAPINE;CHEMICAL;PD
PA166157862;rs1414334;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166155297;rs4799915;VARIANT;PA161199368;ILOPERIDONE;CHEMICAL;PD
PA166177204;rs61908410;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166262005;rs772964366;VARIANT;PA450626;NICOTINE;CHEMICAL;
PA166156596;rs4696480;VARIANT;PA164713366;TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS;CHEMICAL;PD
PA166156893;rs70991108;VARIANT;PA164712913;MULTIVITAMINS, PLAIN;CHEMICAL;
PA166156893;rs70991108;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166153922;rs138616379;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166154701;rs1678387;VARIANT;PA164712563;BISPHOSPHONATES;CHEMICAL;PD
PA166206202;rs3802279;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166153656;rs1877724;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166156012;rs9977268;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166178067;rs397508435;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;PD
PA166157290;rs1149222;VARIANT;PA130620651;ANTHRACYCLINES AND RELATED SUBSTANCES;CHEMICAL;PD
PA166156543;rs2231137;VARIANT;PA10804;IMATINIB;CHEMICAL;PD
PA166156543;rs2231137;VARIANT;PA162372878;DASATINIB;CHEMICAL;
PA166156543;rs2231137;VARIANT;PA165958345;NILOTINIB;CHEMICAL;
PA166156543;rs2231137;VARIANT;PA166353181;RESMETIROM;CHEMICAL;
PA166156543;rs2231137;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166177115;rs9310657;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA10816;EZETIMIBE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA133950441;HMG COA REDUCTASE INHIBITORS;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA134308647;ROSUVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA142650384;PITAVASTATIN;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA164749431;GEMTUZUMAB OZOGAMICIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA165110775;SN-38;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA165374673;TICAGRELOR;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA165949771;GLUCARPIDASE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA166129446;SIMVASTATIN ACID;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166163161;LOVASTATIN ACID;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166182348;ELAGOLIX;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166183785;AMLODIPINE / ATORVASTATIN / PERINDOPRIL ARGININE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166184379;LETERMOVIR;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166184495;EZETIMIBE / SIMVASTATIN;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166184498;EZETIMIBE / ROSUVASTATIN;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA166285081;DULAGLUTIDE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA448422;AMPRENAVIR;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA448500;ATORVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA448817;CARVEDILOL;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA448897;CERIVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449177;CYTARABINE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449334;DILTIAZEM;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449456;ENALAPRIL;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449476;EPIRUBICIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449594;FENOFIBRATE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA449655;FLUDARABINE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449673;FLUOXETINE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA449688;FLUVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA449719;FUROSEMIDE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA449961;IDARUBICIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA450180;LANSOPRAZOLE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA450221;LEVOTHYROXINE;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA450264;LOPINAVIR;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA450267;LORAZEPAM;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA450272;LOVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA450379;MERCAPTOPURINE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA451089;PRAVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA451234;REPAGLINIDE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA451250;RIFAMPIN;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA451283;ROSIGLITAZONE;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA451363;SIMVASTATIN;CHEMICAL;PD
PA166154579;rs4149056;VARIANT;PA451906;WARFARIN;CHEMICAL;
PA166154579;rs4149056;VARIANT;PA7000;SORAFENIB;CHEMICAL;PD
PA166155582;rs6166;VARIANT;PA164746560;THYROTROPIN ALFA;CHEMICAL;PD
PA166155582;rs6166;VARIANT;PA164749406;MENOTROPINS;CHEMICAL;PD
PA166155582;rs6166;VARIANT;PA449693;FOLLITROPIN BETA;CHEMICAL;PD
PA166155582;rs6166;VARIANT;PA449804;GONADOTROPIN,CHORIONIC;CHEMICAL;PD
PA166155582;rs6166;VARIANT;PA451835;UROFOLLITROPIN;CHEMICAL;PD
PA166161188;rs121909011;VARIANT;PA165948052;ROFLUMILAST;CHEMICAL;
PA166161188;rs121909011;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;PD
PA166161188;rs121909011;VARIANT;PA166152935;IVACAFTOR / LUMACAFTOR;CHEMICAL;PD
PA166161188;rs121909011;VARIANT;PA166190041;ELEXACAFTOR / TEZACAFTOR / IVACAFTOR;CHEMICAL;PD
PA166155809;rs11692021;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166205744;rs3749034;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166235847;rs718656;VARIANT;PA452618;OPIOIDS;CHEMICAL;PD
PA166157891;rs113165732;VARIANT;PA10204;TENOFOVIR;CHEMICAL;
PA166206581;rs36024412;VARIANT;PA452618;OPIOIDS;CHEMICAL;PD
PA166154718;rs7317112;VARIANT;PA165949771;GLUCARPIDASE;CHEMICAL;PD
PA166154718;rs7317112;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166154467;rs12800734;VARIANT;PA452229;ANTIDEPRESSANTS;CHEMICAL;PD
PA166180286;rs1801516;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166180286;rs1801516;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166180286;rs1801516;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;PD
PA166155718;rs3832043;VARIANT;PA164748728;MYCOPHENOLIC ACID;CHEMICAL;
PA166155718;rs3832043;VARIANT;PA165110775;SN-38;CHEMICAL;
PA166155718;rs3832043;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166155718;rs3832043;VARIANT;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;
PA166155718;rs3832043;VARIANT;PA7000;SORAFENIB;CHEMICAL;
PA166185920;rs28935490;VARIANT;PA166182881;MIGALASTAT;CHEMICAL;PD
PA166154532;rs2229774;VARIANT;PA130620651;ANTHRACYCLINES AND RELATED SUBSTANCES;CHEMICAL;PD
PA166154532;rs2229774;VARIANT;PA449212;DAUNORUBICIN;CHEMICAL;PD
PA166154532;rs2229774;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;PD
PA166178596;rs540825;VARIANT;PA449599;FENTANYL;CHEMICAL;PD
PA166177208;rs78482393;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166153738;rs3215400;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166153738;rs3215400;VARIANT;PA449177;CYTARABINE;CHEMICAL;PD
PA166153738;rs3215400;VARIANT;PA451996;AZACITIDINE;CHEMICAL;
PA166179651;rs3828743;VARIANT;PA166123407;ABIRATERONE;CHEMICAL;PD
PA166179651;rs3828743;VARIANT;PA451096;PREDNISOLONE;CHEMICAL;PD
PA166156603;rs6600879;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166177126;rs62319299;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166178541;rs141084494;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166178541;rs141084494;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166178541;rs141084494;VARIANT;PA449476;EPIRUBICIN;CHEMICAL;PD
PA166177138;rs3889402;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166153711;rs2501873;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166153711;rs2501873;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166176701;rs11168292;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166153999;rs2227310;VARIANT;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA166153999;rs2227310;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166153999;rs2227310;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166153999;rs2227310;VARIANT;PA450761;PACLITAXEL;CHEMICAL;PD
PA166153999;rs2227310;VARIANT;PA451881;VINORELBINE;CHEMICAL;PD
PA166177139;rs56355515;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166154688;rs899494;VARIANT;PA10204;TENOFOVIR;CHEMICAL;PD
PA166156533;rs2066702;VARIANT;PA448073;ETHANOL;CHEMICAL;
PA166156533;rs2066702;VARIANT;PA450588;NALTREXONE;CHEMICAL;PD
PA166159965;rs3025040;VARIANT;PA7000;SORAFENIB;CHEMICAL;PD
PA166179693;rs767263838;VARIANT;PA166131379;O-DESMETHYLTRAMADOL;CHEMICAL;
PA166179693;rs767263838;VARIANT;PA166179720;TAPENTADOL;CHEMICAL;
PA166179693;rs767263838;VARIANT;PA448015;ACETAMINOPHEN;CHEMICAL;
PA166179693;rs767263838;VARIANT;PA450550;MORPHINE;CHEMICAL;
PA166179693;rs767263838;VARIANT;PA451735;TRAMADOL;CHEMICAL;
PA166156728;rs307821;VARIANT;PA162372840;SUNITINIB;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA164749136;DESFLURANE;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA449461;ENFLURANE;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA449845;HALOTHANE;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA450106;ISOFLURANE;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA450434;METHOXYFLURANE;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA451341;SEVOFLURANE;CHEMICAL;PD
PA166155546;rs121918595;VARIANT;PA451522;SUCCINYLCHOLINE;CHEMICAL;PD
PA166154975;rs5882;VARIANT;PA134308647;ROSUVASTATIN;CHEMICAL;PD
PA166154975;rs5882;VARIANT;PA449688;FLUVASTATIN;CHEMICAL;PD
PA166154975;rs5882;VARIANT;PA451363;SIMVASTATIN;CHEMICAL;PD
PA166154977;rs7294;VARIANT;PA450921;PHENPROCOUMON;CHEMICAL;PD
PA166154977;rs7294;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166154977;rs7294;VARIANT;PA452632;ACENOCOUMAROL;CHEMICAL;PD
PA166394762;rs397508748;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;
PA166154519;rs1806201;VARIANT;PA451201;QUETIAPINE;CHEMICAL;PD
PA166154519;rs1806201;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166154519;rs1806201;VARIANT;PA451341;SEVOFLURANE;CHEMICAL;
PA166156938;rs699947;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA130232992;BEVACIZUMAB;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA162372840;SUNITINIB;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA164746012;RANIBIZUMAB;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA449456;ENALAPRIL;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA450198;LEUCOVORIN;CHEMICAL;PD
PA166156938;rs699947;VARIANT;PA451346;SILDENAFIL;CHEMICAL;PD
PA166156947;rs760370;VARIANT;PA164749390;PEGINTERFERON ALFA-2A;CHEMICAL;PD
PA166156947;rs760370;VARIANT;PA164784024;PEGINTERFERON ALFA-2B;CHEMICAL;PD
PA166156947;rs760370;VARIANT;PA166171170;TIPIRACIL HYDROCHLORIDE;CHEMICAL;PD
PA166156947;rs760370;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166156947;rs760370;VARIANT;PA451241;RIBAVIRIN;CHEMICAL;PD
PA166156947;rs760370;VARIANT;PA451775;TRIFLURIDINE;CHEMICAL;PD
PA166319644;rs568367673;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166185304;rs362267;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166178088;rs121909047;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;PD
PA166178088;rs121909047;VARIANT;PA166114483;LUMACAFTOR;CHEMICAL;PD
PA166178088;rs121909047;VARIANT;PA166190041;ELEXACAFTOR / TEZACAFTOR / IVACAFTOR;CHEMICAL;PD
PA166178397;rs8110364;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166178397;rs8110364;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166178397;rs8110364;VARIANT;PA449476;EPIRUBICIN;CHEMICAL;PD
PA166157468;rs17135437;VARIANT;PA449015;CITALOPRAM;CHEMICAL;PD
PA166199021;rs10224002;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166157100;rs4305746;VARIANT;PA10026;ARIPIPRAZOLE;CHEMICAL;PD
PA166153615;rs1056515;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166153615;rs1056515;VARIANT;PA130232992;BEVACIZUMAB;CHEMICAL;PD
