Variant_ID;Variant;Entity1_type;Disease_ID;Disease;Entity2_type;LADME
PA166156906;rs25648;VARIANT;PA445742;STOMACH NEOPLASMS;DISEASE;PD
PA166155597;rs676210;VARIANT;PA446120;HYPERTRIGLYCERIDEMIA;DISEASE;PD
PA166154854;rs1008805;VARIANT;PA166048848;MENOPAUSE;DISEASE;
PA166154854;rs1008805;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166155632;rs1367117;VARIANT;PA166123431;HEART VALVE REPLACEMENT;DISEASE;PD
PA166155632;rs1367117;VARIANT;PA444417;HEMORRHAGE;DISEASE;PD
PA166155632;rs1367117;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166155039;rs2307240;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA166155630;rs1143634;VARIANT;PA443815;CROHN DISEASE;DISEASE;PD
PA166155630;rs1143634;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166155630;rs1143634;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166155674;rs2241883;VARIANT;PA446120;HYPERTRIGLYCERIDEMIA;DISEASE;PD
PA166184212;rs508448;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;
PA166164951;rs150212784;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166154091;rs7917983;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166157349;rs2270007;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155046;rs3024530;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166157424;rs6966038;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166157538;rs320;VARIANT;PA446120;HYPERTRIGLYCERIDEMIA;DISEASE;PD
PA166153827;rs11265572;VARIANT;PA447247;LIVER TRANSPLANTATION;DISEASE;
PA166154844;rs660652;VARIANT;PA445208;PAIN;DISEASE;PD
PA166154844;rs660652;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166156093;rs2284017;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166154090;rs7917432;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166203408;rs2233407;VARIANT;PA164925725;TOXIC LIVER DISEASE;DISEASE;PD
PA166203408;rs2233407;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166155619;rs1051685;VARIANT;PA444985;MULTIPLE MYELOMA;DISEASE;PD
PA166177127;rs10123866;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166153776;rs4844880;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA166199041;rs757081;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166157541;rs3594;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166179948;rs3852209;VARIANT;PA166123046;SMOKING CESSATION;DISEASE;
PA166179948;rs3852209;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166154602;rs7311358;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA166154602;rs7311358;VARIANT;PA166114454;TRANSPLANT REJECTION;DISEASE;PD
PA166154602;rs7311358;VARIANT;PA166114457;LUNG TRANSPLANTATION;DISEASE;PD
PA166154602;rs7311358;VARIANT;PA166123207;OVERALL SURVIVAL;DISEASE;PD
PA166154602;rs7311358;VARIANT;PA166195784;CHRONIC LUNG ALLOGRAFT DYSFUNCTION;DISEASE;PD
PA166154602;rs7311358;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166180172;rs9397685;VARIANT;PA445048;NAUSEA;DISEASE;PD
PA166180172;rs9397685;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166180172;rs9397685;VARIANT;PA446051;VOMITING;DISEASE;PD
PA166177119;rs9873889;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155798;rs11123469;VARIANT;PA162370415;METABOLIC SYNDROME;DISEASE;
PA166155798;rs11123469;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;
PA166156787;rs2216711;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166156091;rs2267076;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166153719;rs2819742;VARIANT;PA443635;CARDIOVASCULAR DISEASE;DISEASE;PD
PA166153719;rs2819742;VARIANT;PA445549;RHABDOMYOLYSIS;DISEASE;PD
PA166154633;rs11045879;VARIANT;PA166124386;GASTROINTESTINAL TOXICITY;DISEASE;PD
PA166154633;rs11045879;VARIANT;PA444840;LYMPHOMA;DISEASE;PD
PA166154633;rs11045879;VARIANT;PA445062;NEOPLASMS;DISEASE;
PA166154633;rs11045879;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;PD
PA166154633;rs11045879;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166157391;rs4646437;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166157391;rs4646437;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166157391;rs4646437;VARIANT;PA445009;MYCOSES;DISEASE;
PA166157391;rs4646437;VARIANT;PA445431;PROTEINURIA;DISEASE;
PA166157391;rs4646437;VARIANT;PA447247;LIVER TRANSPLANTATION;DISEASE;
PA166154375;rs2514218;VARIANT;PA166123368;SCHIZOAFFECTIVE DISORDER;DISEASE;PD
PA166154375;rs2514218;VARIANT;PA445452;PSYCHOMOTOR AGITATION;DISEASE;PD
PA166154375;rs2514218;VARIANT;PA447215;PSYCHOTIC DISORDER;DISEASE;PD
PA166154375;rs2514218;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166161174;rs5993883;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166182407;rs795484;VARIANT;PA445208;PAIN;DISEASE;PD
PA166182407;rs795484;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166157795;rs7867504;VARIANT;PA445062;NEOPLASMS;DISEASE;
PA166153865;rs16851030;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166156707;rs5326;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166153547;rs5051;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166154139;rs11572076;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166178411;rs79430272;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178411;rs79430272;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166153829;rs11580409;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166201505;rs3115672;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166201505;rs3115672;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166157862;rs1414334;VARIANT;PA162370415;METABOLIC SYNDROME;DISEASE;PD
PA166157862;rs1414334;VARIANT;PA447208;MENTAL DISORDERS;DISEASE;PD
PA166157862;rs1414334;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166155297;rs4799915;VARIANT;PA447300;ACQUIRED LONG QT SYNDROME (ALQTS);DISEASE;PD
PA166177204;rs61908410;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166156596;rs4696480;VARIANT;PA443750;ULCERATIVE COLITIS;DISEASE;PD
PA166156596;rs4696480;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166156893;rs70991108;VARIANT;PA166119041;DRUG-INDUCED LIVER INJURY;DISEASE;PD
PA166156893;rs70991108;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;
PA166156893;rs70991108;VARIANT;PA444773;LEUKOPENIA;DISEASE;PD
PA166156893;rs70991108;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166156893;rs70991108;VARIANT;PA446155;PRECURSOR CELL LYMPHOBLASTIC LEUKEMIA-LYMPHOMA;DISEASE;PD
PA166154701;rs1678387;VARIANT;PA445187;OSTEONECROSIS;DISEASE;PD
PA166206202;rs3802279;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166156012;rs9977268;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166178067;rs397508435;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166157290;rs1149222;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166156543;rs2231137;VARIANT;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA166156543;rs2231137;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166156543;rs2231137;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166177115;rs9310657;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA165108110;DYSLIPIDAEMIA;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;
PA166154579;rs4149056;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA166163391;STATIN-RELATED MYOPATHY;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA443635;CARDIOVASCULAR DISEASE;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA443890;DIABETES MELLITUS, TYPE 2;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA444516;HYPERCHOLESTEROLEMIA;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA444528;HYPERLIPIDEMIAS;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA445549;RHABDOMYOLYSIS;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;
PA166154579;rs4149056;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166154579;rs4149056;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166154579;rs4149056;VARIANT;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA166155582;rs6166;VARIANT;PA165108853;OVARIAN HYPERSTIMULATION SYNDROME;DISEASE;PD
PA166155582;rs6166;VARIANT;PA444617;INFERTILITY DISORDER;DISEASE;PD
PA166155582;rs6166;VARIANT;PA444618;INFERTILITY, FEMALE;DISEASE;PD
PA166161188;rs121909011;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166155809;rs11692021;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166205744;rs3749034;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166235847;rs718656;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166157891;rs113165732;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166206581;rs36024412;VARIANT;PA445048;NAUSEA;DISEASE;PD
PA166206581;rs36024412;VARIANT;PA446051;VOMITING;DISEASE;PD
PA166154718;rs7317112;VARIANT;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA166154718;rs7317112;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166154467;rs12800734;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166180286;rs1801516;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166155718;rs3832043;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA166155718;rs3832043;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;
PA166155718;rs3832043;VARIANT;PA166122058;MUCOSITIS;DISEASE;
PA166155718;rs3832043;VARIANT;PA443314;ALOPECIA;DISEASE;
PA166155718;rs3832043;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166155718;rs3832043;VARIANT;PA443937;DRUG TOXICITY;DISEASE;
PA166155718;rs3832043;VARIANT;PA445857;THYROID NEOPLASMS;DISEASE;
PA166185920;rs28935490;VARIANT;PA443367;FABRY DISEASE;DISEASE;PD
PA166154532;rs2229774;VARIANT;PA166128121;CARDIOTOXICITY;DISEASE;PD
PA166154532;rs2229774;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166178596;rs540825;VARIANT;PA446051;VOMITING;DISEASE;PD
PA166177208;rs78482393;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166153738;rs3215400;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA166153738;rs3215400;VARIANT;PA443937;DRUG TOXICITY;DISEASE;
PA166153738;rs3215400;VARIANT;PA444750;LEUKEMIA;DISEASE;
PA166153738;rs3215400;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166153738;rs3215400;VARIANT;PA446309;LYMPHOMA, T-CELL;DISEASE;
PA166179651;rs3828743;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166156603;rs6600879;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166177126;rs62319299;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166178541;rs141084494;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178541;rs141084494;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166177138;rs3889402;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166153711;rs2501873;VARIANT;PA443340;ANEMIA;DISEASE;PD
PA166153711;rs2501873;VARIANT;PA445046;NASOPHARYNGEAL NEOPLASMS;DISEASE;PD
PA166153999;rs2227310;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166177139;rs56355515;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166154688;rs899494;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166154688;rs899494;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166156533;rs2066702;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166159965;rs3025040;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA166159965;rs3025040;VARIANT;PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PD
PA166156728;rs307821;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166155546;rs121918595;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166154975;rs5882;VARIANT;PA444516;HYPERCHOLESTEROLEMIA;DISEASE;PD
PA166154519;rs1806201;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166156938;rs699947;VARIANT;PA134850558;MACULAR DEGENERATION;DISEASE;PD
PA166156938;rs699947;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166156938;rs699947;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166156938;rs699947;VARIANT;PA444606;ERECTILE DYSFUNCTION;DISEASE;PD
PA166156938;rs699947;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166156947;rs760370;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166156947;rs760370;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166156947;rs760370;VARIANT;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166319644;rs568367673;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166185304;rs362267;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166178088;rs121909047;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166178397;rs8110364;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178397;rs8110364;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166157468;rs17135437;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166199021;rs10224002;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166157100;rs4305746;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166153615;rs1056515;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166185792;rs28656907;VARIANT;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA166185792;rs28656907;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166156447;rs12487736;VARIANT;PA444516;HYPERCHOLESTEROLEMIA;DISEASE;PD
PA166154138;rs11568732;VARIANT;PA444417;HEMORRHAGE;DISEASE;PD
PA166154138;rs11568732;VARIANT;PA445019;MYOCARDIAL INFARCTION;DISEASE;PD
PA166153700;rs2307424;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166260501;rs12678747;VARIANT;PA447240;PEPTIC ULCER DISEASE;DISEASE;PD
PA166154747;rs11568658;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166154747;rs11568658;VARIANT;PA444282;OPEN-ANGLE GLAUCOMA;DISEASE;PD
PA166155918;rs1884613;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166156774;rs1800925;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166153773;rs4654327;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166153773;rs4654327;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166154270;rs187238;VARIANT;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166154758;rs77876672;VARIANT;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA166156762;rs1423515;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166157902;CYB5R3 deficiency;VARIANT;PA444684;KIDNEY FAILURE, CHRONIC;DISEASE;
PA166157902;CYB5R3 deficiency;VARIANT;PA444942;METHEMOGLOBINEMIA;DISEASE;
PA166183705;rs3778156;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166183705;rs3778156;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166183705;rs3778156;VARIANT;PA446878;COCAINE DEPENDENCE;DISEASE;PD
PA166157296;rs1448673;VARIANT;PA444987;MULTIPLE SCLEROSIS;DISEASE;PD
PA166156792;rs2243250;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166155228;rs4796793;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166159971;rs17180299;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;
PA166157720;rs1126442;VARIANT;PA447215;PSYCHOTIC DISORDER;DISEASE;PD
PA166162981;rs7512462;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166155593;rs264663;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166155022;rs1805010;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166163174;rs2942857;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;
PA166153990;rs2031920;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166153990;rs2031920;VARIANT;PA445941;TUBERCULOSIS;DISEASE;PD
PA166155954;rs6071980;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA164925725;TOXIC LIVER DISEASE;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA166122058;MUCOSITIS;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA443340;ANEMIA;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA444773;LEUKOPENIA;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA444845;NON-HODGKIN LYMPHOMA;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA444937;MESOTHELIOMA;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166154789;rs2236225;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166153545;rs4762;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166153545;rs4762;VARIANT;PA446479;HYPERTROPHY, LEFT VENTRICULAR;DISEASE;PD
PA166201543;rs11572078;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166201543;rs11572078;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166282801;rs1799762;VARIANT;PA444997;MUSCULAR DISEASES;DISEASE;
PA166282801;rs1799762;VARIANT;PA445187;OSTEONECROSIS;DISEASE;
PA166282801;rs1799762;VARIANT;PA445273;PEMPHIGUS;DISEASE;
PA166180325;rs144336148;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166164927;rs2254638;VARIANT;PA166129560;MAJOR ADVERSE CARDIAC EVENTS (MACE);DISEASE;PD
PA166179355;rs1029359343;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166156442;rs11313667;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166163239;rs3217164;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166157269;rs854547;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166155163;rs242941;VARIANT;PA447196;ANXIETY DISORDERS;DISEASE;PD
PA166155163;rs242941;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166156933;rs628031;VARIANT;PA166124386;GASTROINTESTINAL TOXICITY;DISEASE;PD
PA166156933;rs628031;VARIANT;PA443890;DIABETES MELLITUS, TYPE 2;DISEASE;PD
PA166156933;rs628031;VARIANT;PA444065;EPILEPSY;DISEASE;
PA166156933;rs628031;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166154478;rs61888800;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166154478;rs61888800;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166154400;rs3758785;VARIANT;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA166156725;rs274717;VARIANT;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA166154301;rs757110;VARIANT;PA443886;DIABETES MELLITUS;DISEASE;PD
PA166160694;rs7958375;VARIANT;PA445941;TUBERCULOSIS;DISEASE;PD
PA166154056;rs4506565;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166154726;rs7997012;VARIANT;PA447196;ANXIETY DISORDERS;DISEASE;PD
PA166154726;rs7997012;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166154726;rs7997012;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166154726;rs7997012;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166154726;rs7997012;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166157911;NAT2 deficiency;VARIANT;PA444626;INSULIN RESISTANCE;DISEASE;
PA166155435;rs8099917;VARIANT;PA444445;HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166155435;rs8099917;VARIANT;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166154888;rs2305364;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166178193;rs397508602;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166283681;rs7557402;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166177205;rs61908411;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166157160;rs9461684;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166156031;rs16947;VARIANT;PA443548;BRADYCARDIA;DISEASE;PD
PA166155098;rs9939609;VARIANT;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166155098;rs9939609;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166153620;rs1061631;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166155465;rs12721646;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166154052;rs4148950;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166157579;rs2669429;VARIANT;PA444522;HYPERGLYCEMIA;DISEASE;PD
PA166157579;rs2669429;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166155709;rs3770102;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
